,ÀÏ½Ã,Æò±Õ±â¿Â(¡É),Æò±Õ½Àµµ(%rh)
0,2025-01-01,2.6,64.3
1,2025-01-02,0.5,48.8
2,2025-01-03,-1.1,52.0
3,2025-01-04,-0.1,49.6
4,2025-01-05,1.2,85.0
5,2025-01-06,1.0,75.6
6,2025-01-07,-2.6,53.5
7,2025-01-08,-3.4,55.1
8,2025-01-09,-9.7,38.4
9,2025-01-10,-7.3,48.0
10,2025-01-11,-5.1,57.4
11,2025-01-12,-3.4,59.9
12,2025-01-13,-0.4,76.9
13,2025-01-14,2.3,72.0
14,2025-01-15,-3.5,40.8
15,2025-01-16,-0.5,65.1
16,2025-01-17,-0.5,62.4
17,2025-01-18,1.0,54.1
18,2025-01-19,3.8,65.0
19,2025-01-20,3.9,73.1
20,2025-01-21,2.4,79.8
21,2025-01-22,3.6,70.3
22,2025-01-23,2.0,54.3
23,2025-01-24,3.1,45.9
24,2025-01-25,5.2,52.8
25,2025-01-26,4.6,50.5
26,2025-01-27,0.2,77.9
27,2025-01-28,-3.9,71.3
28,2025-01-29,-4.6,66.1
29,2025-01-30,-3.8,46.6
30,2025-01-31,-0.8,80.1
31,2025-02-01,1.6,74.3
32,2025-02-02,1.5,67.1
33,2025-02-03,-4.1,48.8
34,2025-02-04,-9.0,50.8
35,2025-02-05,-8.6,49.1
36,2025-02-06,-5.6,59.9
37,2025-02-07,-8.0,60.1
38,2025-02-08,-7.9,54.5
39,2025-02-09,-4.7,63.8
40,2025-02-10,-2.6,61.0
41,2025-02-11,0.5,59.8
42,2025-02-12,0.5,75.8
43,2025-02-13,0.2,53.1
44,2025-02-14,3.7,67.4
45,2025-02-15,4.1,76.5
46,2025-02-16,4.3,75.6
47,2025-02-17,-0.3,39.1
48,2025-02-18,-2.3,40.3
49,2025-02-19,-3.0,44.8
50,2025-02-20,-2.9,43.3
51,2025-02-21,-2.5,45.3
52,2025-02-22,-2.3,49.1
53,2025-02-23,-3.6,45.4
54,2025-02-24,-1.3,49.8
55,2025-02-25,2.1,72.6
56,2025-02-26,3.7,49.4
57,2025-02-27,5.8,29.4
58,2025-02-28,7.8,52.4
59,2025-03-01,8.5,68.5
60,2025-03-02,8.3,68.0
61,2025-03-03,3.1,63.5
62,2025-03-04,2.5,68.3
63,2025-03-05,4.8,63.3
64,2025-03-06,4.8,55.1
65,2025-03-07,5.3,49.3
66,2025-03-08,5.8,55.0
67,2025-03-09,6.9,67.3
68,2025-03-10,8.0,59.8
69,2025-03-11,9.4,58.0
70,2025-03-12,8.5,72.3
71,2025-03-13,8.9,54.6
72,2025-03-14,12.4,31.4
73,2025-03-15,12.6,39.1
74,2025-03-16,4.9,56.3
75,2025-03-17,2.5,46.0
76,2025-03-18,2.1,70.6
77,2025-03-19,2.4,49.5
78,2025-03-20,8.2,62.8
79,2025-03-21,11.6,61.3
80,2025-03-22,12.8,53.8
81,2025-03-23,15.2,49.0
82,2025-03-24,15.5,56.1
83,2025-03-25,12.7,63.5
84,2025-03-26,15.5,46.4
85,2025-03-27,13.7,65.1
86,2025-03-28,6.5,41.6
87,2025-03-29,3.3,40.8
88,2025-03-30,3.3,51.1
89,2025-03-31,7.7,50.5
90,2025-04-01,10.1,53.0
91,2025-04-02,8.9,55.4
92,2025-04-03,9.8,58.6
93,2025-04-04,10.6,54.5
94,2025-04-05,8.0,86.1
95,2025-04-06,10.3,67.3
96,2025-04-07,13.5,54.5
97,2025-04-08,13.8,55.0
98,2025-04-09,12.7,51.6
99,2025-04-10,13.2,60.6
100,2025-04-11,16.2,51.8
101,2025-04-12,12.9,66.5
102,2025-04-13,5.5,71.1
103,2025-04-14,4.4,87.4
104,2025-04-15,8.2,70.3
105,2025-04-16,14.6,58.0
106,2025-04-17,19.7,63.5
107,2025-04-18,18.6,67.9
108,2025-04-19,15.3,89.1
109,2025-04-20,16.7,70.0
110,2025-04-21,20.7,65.3
111,2025-04-22,17.8,87.8
112,2025-04-23,16.8,62.4
113,2025-04-24,14.7,52.4
114,2025-04-25,12.5,38.4
115,2025-04-26,13.8,53.1
116,2025-04-27,14.9,46.4
117,2025-04-28,15.1,45.6
118,2025-04-29,14.8,34.1
119,2025-04-30,18.4,36.3
120,2025-05-01,14.7,69.6
121,2025-05-02,13.4,59.3
122,2025-05-03,11.2,80.5
123,2025-05-04,13.7,60.9
124,2025-05-05,12.1,64.5
125,2025-05-06,14.4,57.5
126,2025-05-07,14.9,61.5
127,2025-05-08,17.4,53.5
128,2025-05-09,15.1,81.8
129,2025-05-10,12.3,95.5
130,2025-05-11,14.7,76.9
131,2025-05-12,17.0,62.6
132,2025-05-13,19.9,47.4
133,2025-05-14,21.0,52.8
134,2025-05-15,19.5,80.9
135,2025-05-16,19.4,92.6
136,2025-05-17,18.3,86.4
137,2025-05-18,15.6,59.3
138,2025-05-19,16.1,70.4
139,2025-05-20,22.2,85.5
140,2025-05-21,25.5,75.5
141,2025-05-22,23.9,68.0
142,2025-05-23,19.4,53.8
143,2025-05-24,15.6,69.1
144,2025-05-25,17.4,61.0
145,2025-05-26,19.7,59.4
146,2025-05-27,20.8,57.0
147,2025-05-28,20.8,62.0
148,2025-05-29,21.2,58.4
149,2025-05-30,22.2,55.0
150,2025-05-31,21.5,55.0
